Timestamp,RSI10,%K200,%K30,EMA10
1325317920,,,,
1325346600,,,,
1325350740,,,,
1325350800,,,,
1325391360,,,,
1325431680,,,,
1325457900,,,,
1325534640,,,,
1325591100,,,,
1325600520,,,,4.9415769038
1325602440,,,,5.0066267614
1325604720,,,,5.0632442158
1325610600,,,,5.1077494038
1325610840,,,,5.1139890348
1325611560,,,,5.1476501406
1325611620,,,,5.174619531
1325650620,,,,5.1286256898
1325653500,,,,5.0915099577
1325680860,,,,5.1098216988
1325681820,,,,5.1246678656
1325691540,,,,5.1367247062
1325692380,,,,5.1704555462
1325692440,,,,5.197917262
1325692800,,,,5.2294604801
1325699460,,,,5.2917897446
1325727600,,,,5.3700705305
1325735520,,,,5.4394563787
1325747940,,,,5.5034237244
1325753880,,,,5.5939792006
1325754180,,,,5.6679809422
1325756880,,,,5.755795317
1325758080,,,,5.8348702207
1325758200,,,,5.906807718
1325760480,,,,5.9692743199
1325762400,,,,6.0585767148
1325762460,,,,6.1316159958
1325762880,,,,6.1859000009
1325768820,,,,6.2321225508
1325770680,,,,6.2681146353
1325773860,,,,6.2957391779
1325803800,,,,6.3201567609
1325806500,,,,6.3419512055
1325806740,,,,6.3652369696
1325806860,,,,6.4170196445
1325806980,,,,6.4593847819
1325807160,,,,6.49404549
1325829720,,,,6.5224031285
1325829840,,,,6.5601504898
1325856000,,,,6.6219446257
1325863260,,,,6.6470467049
1325864160,,,,6.62030998
1325864220,,,,6.59661656
1325867820,,,,6.5608672349
1325872740,,,,6.5316180713
1325872800,,,,6.5076871277
1325875320,,,,6.488107392
1325881080,,,,6.4539056795
1325881140,,,,6.4077406035
1325881260,,,,6.3517873629
1325881320,,,,6.2878256467
1325960040,,,,6.380948706
1326032400,,,,6.4753220414
1326065460,,,,6.5707183423
1326084000,,,,6.6305878929
1326110640,,,,6.6795720184
1326110760,,,,6.7196499042
1326110820,,,,6.7524408782
1326110880,,,,6.7792698412
1326110940,,,,6.8012208005
1326111300,,,,6.7464533388
1326111360,,,,6.7016436117
1326111420,,,,6.6649811174
1326111480,,,,6.6349845376
1326111540,,,,6.6104418856
1326111600,,,,6.590361537
1326111840,,,,6.5739321627
1326115560,,,,6.575035406
1326115620,,,,6.5795744239
1326115680,,,,6.5832881655
1326115980,,,,6.5808721351
1326117480,,,,6.5661681093
1326119580,,,,6.5723193626
1326122760,,,,6.577352206
1326122820,,,,6.5814699869
1326122880,,,,6.5848390804
1326123780,,,,6.5875956113
1326124560,,,,6.5898509548
