timestamp,open,high,low,close,volume_(btc),volume_(currency),weighted_price,volumn_square,ma10,rsi30,rsi10,%k10,ema200,ma200,rsi200,%k30,rsi10,%k200,%k30,ema10,signal
1325600520.0,5.14,5.14,5.14,5.14,0.68,3.4952,5.14,,4.781,,,80.6451612903225,,,,,,,,4.9415769038,0.0
1325602440.0,5.26,5.26,5.26,5.26,29.31939163,154.22,5.26,,4.868,,85.3658536585366,93.5483870967742,,,,,,,,5.0066267614,0.0
1325604720.0,5.29,5.29,5.29,5.29,29.30245747,155.01,5.29,,4.958,,85.7519788918206,96.3414634146341,,,,,,,,5.0632442158,0.0
1325610600.0,5.29,5.29,5.29,5.29,11.28544423,59.69999998,5.29,,5.03,,85.7519788918206,95.9459459459459,,,,,,,,5.1077494038,0.0
1325610840.0,5.14,5.14,5.14,5.14,0.02,0.1028,5.14,,5.086,,73.7415613882741,75.6756756756756,,,,,,,,5.1139890348,0.0
1325611560.0,5.29,5.29,5.29,5.29,11.0,58.19,5.29,,5.157,,77.2776609182555,93.75,,,,,,,,5.1476501406,0.0
1325611620.0,5.29,5.29,5.29,5.29,4.01081466,21.21720955,5.29,,5.202,,77.2776609182555,90.6249999999999,,,,,,,,5.174619531,0.0
1325650620.0,4.93,4.93,4.93,4.93,2.32,11.4376,4.93,,5.195,,55.2374616012128,0.0,,,,,,,,5.1286256898,0.0
1325653500.0,4.93,4.93,4.93,4.93,9.68,47.7224,4.93,,5.188,,55.2374616012128,0.0,,,,,,,,5.0915099577,0.0
1325680860.0,5.19,5.19,5.19,5.19,2.6416185,13.71000002,5.19,,5.175,,64.3127504321933,72.2222222222223,,,,,,,,5.1098216988,0.0
1325681820.0,5.19,5.19,5.19,5.19,8.72447013,45.27999998,5.19,,5.18,,64.3127504321933,72.2222222222223,,,,,,,,5.1246678656,0.0
1325691540.0,5.19,5.19,5.19,5.19,16.34472603,84.8291281,5.19,,5.173,,64.3127504321933,72.2222222222223,,,,,,,,5.1367247062,0.0
1325692380.0,5.32,5.32,5.32,5.32,0.18609023,0.990000024,5.32,,5.176,,68.6694379480711,100.0,,,,,,,,5.1704555462,0.0
