Timestamp,EMA200,MA200,RSI200,%K30
1325803800,NaN,NaN,NaN,98.039216
1325806500,NaN,NaN,NaN,98.692810
1325806740,NaN,NaN,NaN,100.000000
1325806860,NaN,NaN,NaN,100.000000
1325806980,NaN,NaN,NaN,100.000000
1325807160,NaN,NaN,NaN,100.000000
1325829720,NaN,NaN,NaN,100.000000
1325829840,NaN,NaN,NaN,100.000000
1325856000,NaN,NaN,NaN,100.000000
1325863260,NaN,NaN,NaN,91.812865
1325864160,NaN,NaN,NaN,74.683544
1325864220,NaN,NaN,NaN,74.050633
1325867820,NaN,NaN,NaN,67.532468
1325872740,NaN,NaN,NaN,67.320261
1325872800,NaN,NaN,NaN,57.627119
1325875320,NaN,NaN,NaN,56.521739
1325881080,NaN,NaN,NaN,47.826087
1325881140,NaN,NaN,NaN,22.222222
1325881260,NaN,NaN,NaN,11.111111
1325881320,NaN,NaN,NaN,0.000000
1325960040,NaN,NaN,NaN,88.888889
1326032400,NaN,NaN,NaN,100.000000
1326065460,NaN,NaN,NaN,100.000000
1326084000,NaN,NaN,NaN,90.000000
1326110640,NaN,NaN,NaN,90.000000
1326110760,NaN,NaN,NaN,90.000000
1326110820,NaN,NaN,NaN,90.000000
1326110880,NaN,NaN,NaN,90.000000
1326110940,NaN,NaN,NaN,90.000000
1326111300,NaN,NaN,NaN,50.000000
1326111360,NaN,NaN,NaN,50.000000
1326111420,NaN,NaN,NaN,50.000000
1326111480,NaN,NaN,NaN,50.000000
1326111540,NaN,NaN,NaN,50.000000
1326111600,NaN,NaN,NaN,50.000000
1326111840,NaN,NaN,NaN,50.000000
1326115560,NaN,NaN,NaN,58.000000
1326115620,NaN,NaN,NaN,60.000000
1326115680,NaN,NaN,NaN,60.000000
1326115980,NaN,NaN,NaN,57.000000
1326117480,NaN,NaN,NaN,50.000000
1326119580,NaN,NaN,NaN,60.000000
1326122760,NaN,NaN,NaN,60.000000
1326122820,NaN,NaN,NaN,60.000000
1326122880,NaN,NaN,NaN,60.000000
1326123780,NaN,NaN,NaN,60.000000
1326124560,NaN,NaN,NaN,60.000000
1326124680,NaN,NaN,NaN,60.000000
1326124800,NaN,NaN,NaN,60.000000
1326124980,NaN,NaN,NaN,20.000000
1326125040,NaN,NaN,NaN,20.000000
1326125160,NaN,NaN,NaN,20.000000
1326129120,NaN,NaN,NaN,0.000000
1326130020,NaN,NaN,NaN,3.703704
1326132180,NaN,NaN,NaN,24.074074
1326132300,NaN,NaN,NaN,22.222222
1326138120,NaN,NaN,NaN,0.000000
1326138240,NaN,NaN,NaN,0.000000
1326149820,NaN,NaN,NaN,18.918919
1326189360,NaN,NaN,NaN,2.702703
1326189420,NaN,NaN,NaN,2.702703
1326189480,NaN,NaN,NaN,2.702703
1326189540,NaN,NaN,NaN,2.702703
1326189600,NaN,NaN,NaN,2.702703
1326192120,NaN,NaN,NaN,45.945946
1326200400,NaN,NaN,NaN,83.783784
1326200460,NaN,NaN,NaN,83.783784
1326200520,NaN,NaN,NaN,83.783784
1326200580,NaN,NaN,NaN,83.783784
1326200640,NaN,NaN,NaN,83.783784
1326200700,NaN,NaN,NaN,83.783784
1326201000,NaN,NaN,NaN,83.783784
1326201060,NaN,NaN,NaN,83.783784
1326201120,NaN,NaN,NaN,83.783784
1326201360,NaN,NaN,NaN,83.783784
1326207300,NaN,NaN,NaN,86.486486
1326207600,NaN,NaN,NaN,86.486486
1326208620,NaN,NaN,NaN,86.486486
1326208860,NaN,NaN,NaN,100.000000
1326208920,NaN,NaN,NaN,100.000000
1326208980,NaN,NaN,NaN,100.000000
1326209040,NaN,NaN,NaN,100.000000
1326210060,NaN,NaN,NaN,68.085106
