Timestamp,MA10,RSI30,RSI10,%K10
1325317920,,,,
1325346600,,,,
1325350740,,,,
1325350800,,,,
1325391360,,,,
1325431680,,,,
1325457900,,,,
1325534640,,,,
1325591100,,,,
1325600520,4.781,,,80.6451612903225
1325602440,4.868,,85.3658536585366,93.5483870967742
1325604720,4.958,,85.7519788918206,96.3414634146341
1325610600,5.03,,85.7519788918206,95.9459459459459
1325610840,5.086,,73.7415613882741,75.6756756756756
1325611560,5.157,,77.2776609182555,93.75
1325611620,5.202,,77.2776609182555,90.6249999999999
1325650620,5.195,,55.2374616012128,0.0
1325653500,5.188,,55.2374616012128,0.0
1325680860,5.175,,64.3127504321933,72.2222222222223
1325681820,5.18,,64.3127504321933,72.2222222222223
1325691540,5.173,,64.3127504321933,72.2222222222223
1325692380,5.176,,68.6694379480711,100.0
1325692440,5.179,,68.6694379480711,100.0
1325692800,5.202,,70.3860841775784,100.0
1325699460,5.23,,76.1853638199401,100.0
1325727600,5.273,,79.5264661566702,100.0
1325735520,5.355,,80.1454694174518,100.0
1325747940,5.441,,80.9966590280571,100.0
1325753880,5.522,,84.7983318091158,100.0
1325754180,5.603,,84.7983318091159,100.0
1325756880,5.699,78.0254777070064,87.0779545565996,100.0
1325758080,5.786,78.3112941686538,87.6276839531617,100.0
1325758200,5.877,78.5992461848248,88.1861130002808,100.0
1325760480,5.965,78.7452071155089,88.4751021742915,100.0
1325762400,6.054,80.2112242167205,91.0339144668142,100.0
1325762460,6.128,80.2112242167205,91.0339144668142,100.0
1325762880,6.196,79.3742534560919,87.6035520809398,95.7746478873239
1325768820,6.261,79.4482015485971,87.7741803575654,95.6521739130436
1325770680,6.304,79.154628036559,86.4520132578252,93.4782608695652
1325773860,6.346,78.8532057163677,85.0288866243031,87.0967741935484
1325803800,6.374,78.9361830404188,85.2977974749761,88.8888888888888
1325806500,6.399,79.0213391678276,85.5854789745068,92.5925925925927
1325806740,6.423,79.2812869509085,86.4680862425107,100.0
1325806860,6.463,80.7609615740089,90.3906501600666,100.0
1325806980,6.482,80.7609615740089,90.3906501600666,100.0
1325807160,6.501,80.7609615740089,90.3906501600666,100.0
1325829720,6.523,80.7609615740089,90.3906501600666,100.0
1325829840,6.552,81.4357855972552,91.9678601325659,100.0
1325856000,6.599,82.7647318262984,94.211220123129,100.0
1325863260,6.633,78.0073425641512,75.0348173707251,70.2127659574467
1325864160,6.64,70.249592971484,52.8407719503556,13.0434782608695
